booking_id,site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
1,de,1072,311847,36113,38424,5,1,2021.06.01 0:01,2021.06.19,2,2,3820,1034
2,da,4680,132630,36853,38126,3,1,2021.06.01 0:14,2021.08.08,1,1,3074,519
3,da,5788,281492,25296,25296,4,2,2021.06.01 0:21,2021.06.28,2,2,1970,561
4,da,301,14119,36117,38434,3,1,2021.06.01 0:50,2021.08.09,2,2,4364,902
5,da,2362,311848,35458,35458,4,1,2021.06.01 1:07,2021.06.24,3,2,4223,561
6,da,492,311849,37638,37795,3,1,2021.06.01 1:23,2021.06.05,2,2,3558,561
7,da,968,311850,38082,38100,2,1,2021.06.01 7:00,2021.06.26,4,4,3144,561
8,da,7730,47351,36083,37937,2,1,2021.06.01 7:09,2021.06.08,2,2,3168,519
9,se,3961,311648,36787,38257,2,2,2021.06.01 7:31,2021.06.22,3,3,1365,905
10,da,1474,255531,38369,38397,3,1,2021.06.01 7:32,2021.06.19,2,2,3054,561
11,da,1627,311851,35879,35879,2,1,2021.06.01 7:50,2021.06.29,3,3,990,1331
12,se,6828,311852,35626,35885,2,1,2021.06.01 7:51,2021.06.14,4,4,4820,625
13,da,4637,311853,38418,38418,2,1,2021.06.01 7:53,2021.06.16,2,2,3769,1331
14,da,3656,139534,36862,37316,2,1,2021.06.01 7:53,2021.06.05,2,2,2906,901
15,da,1031,311854,36173,38099,1,1,2021.06.01 7:55,2021.06.09,2,2,3473,1029
16,da,1171,311856,35914,35914,3,1,2021.06.01 8:14,2021.06.17,2,2,1470,561
17,se,8289,311857,37728,37728,2,1,2021.06.01 8:15,2021.07.01,2,2,3281,625
18,se,1370,311859,37076,38203,2,1,2021.06.01 8:22,2021.06.12,2,2,3926,0
19,da,3712,168384,36520,37051,2,1,2021.06.01 8:23,2021.09.19,2,2,1640,1029
20,da,2995,22848,35558,37354,2,1,2021.06.01 8:25,2021.06.09,4,4,2751,519
21,da,3712,168384,36520,37051,2,1,2021.06.01 8:27,2021.09.19,2,2,2234,1029
22,se,7426,310047,35780,38166,2,1,2021.06.01 8:31,2021.06.09,2,2,2886,625
23,da,1388,12685,36278,36278,1,1,2021.06.01 8:33,2021.06.08,2,2,1797,1029
24,da,1474,311609,38369,38397,3,2,2021.06.01 8:34,2021.06.27,3,2,3250,0
25,da,893,12685,36172,38080,1,1,2021.06.01 8:42,2021.06.07,2,2,4024,1029
26,da,3061,180947,36798,37362,2,1,2021.06.01 8:43,2021.06.06,2,2,4273,0
27,da,301,169273,36117,38434,3,1,2021.06.01 8:50,2021.08.19,3,3,3583,519
28,da,1505,164899,36282,37780,3,1,2021.06.01 8:51,2021.06.14,2,2,892,761
29,da,6458,310818,36162,36162,2,1,2021.06.01 8:59,2021.06.13,2,2,2306,1331
30,da,2673,137843,37984,37984,2,1,2021.06.01 9:00,2021.06.18,2,2,3498,561
31,se,7426,104166,35780,38166,2,1,2021.06.01 9:01,2021.06.26,4,4,3227,0
32,da,6043,68652,33818,37624,2,1,2021.06.01 9:01,2021.08.30,2,2,4083,0
33,da,5588,189706,36695,37932,2,1,2021.06.01 9:02,2021.08.30,2,2,2312,519
34,da,775,311232,36069,36069,7,3,2021.06.01 9:04,2021.06.24,3,2,3466,519
35,da,1835,311518,35680,35680,4,2,2021.06.01 9:07,2021.08.30,4,4,4207,0
36,da,1171,311865,35914,35914,2,1,2021.06.01 9:09,2021.06.23,2,2,1302,7
37,de,6055,311706,37370,37370,2,2,2021.06.01 9:10,2021.06.18,2,2,4401,1358
38,da,1045,7161,36280,36280,1,1,2021.06.01 9:12,2021.10.01,2,2,2970,561
39,da,2995,202388,35558,37354,2,1,2021.06.01 9:13,2021.06.14,2,2,3562,319
40,da,2995,51849,35558,37354,2,1,2021.06.01 9:14,2021.08.31,5,5,4878,672
41,se,4759,311867,37537,38225,2,1,2021.06.01 9:14,2021.06.07,2,2,1146,625
42,da,5437,160992,38349,38354,2,1,2021.06.01 9:14,2021.06.23,2,2,517,901
43,no,2921,311804,36151,36151,2,1,2021.06.01 9:16,2021.08.08,2,2,3775,0
44,da,6363,311869,36322,36322,3,1,2021.06.01 9:19,2021.06.18,2,2,1083,519
45,de,870,153697,36261,36261,3,1,2021.06.01 9:20,2021.06.09,2,2,750,897
46,da,1124,181911,38071,38071,3,1,2021.06.01 9:21,2021.08.04,2,2,1011,561
47,da,5215,105288,37945,37945,2,1,2021.06.01 9:22,2021.06.07,2,2,996,145
48,se,6828,311870,35626,35885,2,1,2021.06.01 9:23,2021.06.07,2,2,1786,1037
49,se,4893,306446,35783,38422,3,2,2021.06.01 9:23,2021.07.01,2,2,2622,625
50,de,6053,310291,37469,37469,4,2,2021.06.01 9:23,2021.12.02,2,2,4086,1354
51,se,6828,140105,35626,35885,3,1,2021.06.01 9:25,2021.08.02,4,4,1060,0
52,da,3226,309987,36332,37924,2,3,2021.06.01 9:27,2021.06.29,3,2,3824,0
53,da,3809,259677,37762,37833,3,1,2021.06.01 9:28,2021.06.14,3,2,713,519
54,se,846,302386,38058,38058,2,1,2021.06.01 9:29,2021.06.06,3,3,3560,0
55,da,1388,16571,36278,36278,1,1,2021.06.01 9:30,2021.06.04,2,2,1942,7
56,da,4250,165715,35511,35511,3,1,2021.06.01 9:33,2021.08.06,2,2,1956,1331
57,de,6053,311871,37410,37465,2,1,2021.06.01 9:35,2021.08.07,2,2,641,815
58,da,3056,311872,36804,36804,4,1,2021.06.01 9:36,2021.06.19,2,2,2597,0
59,da,3147,165715,36868,36868,2,1,2021.06.01 9:36,2021.09.15,2,2,2226,1331
60,da,1140,15915,37494,37698,2,1,2021.06.01 9:37,2021.08.02,4,3,4746,561
61,da,505,131365,36029,36609,2,1,2021.06.01 9:38,2021.08.02,4,4,2523,561
62,da,1374,271196,37641,37767,3,3,2021.06.01 9:38,2021.09.09,4,4,522,902
63,da,1474,311873,38369,38397,2,1,2021.06.01 9:39,2021.06.15,2,2,3485,0
64,da,3147,165715,36868,36868,2,1,2021.06.01 9:39,2021.11.04,2,2,2253,1331
65,se,1293,311874,37026,38199,2,1,2021.06.01 9:41,2021.06.23,2,2,1064,891
66,da,1474,271720,38401,38401,2,1,2021.06.01 9:41,2021.06.11,2,2,4833,519
67,da,4082,310796,35254,37376,3,1,2021.06.01 9:42,2021.07.01,2,2,590,0
68,de,2813,311875,36426,36426,3,1,2021.06.01 9:43,2021.08.16,2,2,3493,897
69,da,7730,311876,37606,37935,2,1,2021.06.01 9:43,2021.06.05,4,4,3518,519
