booking_id,site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
1,de,1072,311847,36113,38424,5,1,2021.06.01 0:01,2021.06.19,2,2,3820,1034
7,da,968,311850,38082,38100,2,1,2021.06.01 7:00,2021.06.26,4,4,3144,561
13,da,4637,311853,38418,38418,2,1,2021.06.01 7:53,2021.06.16,2,2,3769,1331
19,da,3712,168384,36520,37051,2,1,2021.06.01 8:23,2021.09.19,2,2,1640,1029
25,da,893,12685,36172,38080,1,1,2021.06.01 8:42,2021.06.07,2,2,4024,1029
31,se,7426,104166,35780,38166,2,1,2021.06.01 9:01,2021.06.26,4,4,3227,0
37,de,6055,311706,37370,37370,2,2,2021.06.01 9:10,2021.06.18,2,2,4401,1358
43,no,2921,311804,36151,36151,2,1,2021.06.01 9:16,2021.08.08,2,2,3775,0
49,se,4893,306446,35783,38422,3,2,2021.06.01 9:23,2021.07.01,2,2,2622,625
55,da,1388,16571,36278,36278,1,1,2021.06.01 9:30,2021.06.04,2,2,1942,7
61,da,505,131365,36029,36609,2,1,2021.06.01 9:38,2021.08.02,4,4,2523,561
67,da,4082,310796,35254,37376,3,1,2021.06.01 9:42,2021.07.01,2,2,590,0
73,da,1474,154506,38369,38397,3,2,2021.06.01 9:46,2021.06.28,2,2,3850,1029
79,da,1474,311882,38401,38401,3,1,2021.06.01 9:57,2021.08.17,2,2,1036,902
85,se,4750,311884,37331,38227,2,1,2021.06.01 10:05,2021.08.10,2,2,2549,625
91,se,2758,311602,36869,36869,2,2,2021.06.01 10:10,2021.06.31,2,2,718,1037
97,de,2140,311891,35230,35230,3,1,2021.06.01 10:23,2021.06.04,2,2,1404,1132
103,se,7426,300823,35780,38166,2,2,2021.06.01 10:26,2021.06.06,2,2,4135,625
109,da,647,158417,37388,37388,2,1,2021.06.01 10:35,2021.06.20,2,2,3305,519
115,se,5954,32536,37831,37831,2,1,2021.06.01 10:47,2021.06.25,2,2,1025,891
121,no,5315,224205,37073,37073,2,1,2021.06.01 10:52,2021.06.25,2,2,683,1031
127,se,995,207044,36601,36601,2,1,2021.06.01 10:58,2021.06.04,2,2,912,0
133,da,968,16341,38082,38100,2,1,2021.06.01 11:04,2021.08.23,2,2,4645,561
139,se,1232,311905,37493,38192,2,1,2021.06.01 11:08,2021.06.09,2,2,1239,1037
145,da,6864,311907,36857,36857,4,1,2021.06.01 11:15,2021.06.14,4,2,3692,0
151,da,1191,260427,38353,38362,2,1,2021.06.01 11:20,2021.06.28,2,2,3274,902
157,da,3804,217225,36813,37296,2,1,2021.06.01 11:30,2021.06.26,2,2,1250,519
163,da,966,311702,38061,38431,3,2,2021.06.01 11:35,2021.10.11,14,14,3163,902
169,se,4759,311917,37537,38225,2,1,2021.06.01 11:40,2021.08.29,4,4,3331,1086
175,de,2862,311920,36844,36844,2,1,2021.06.01 11:44,2021.06.02,1,1,4901,1034
181,se,4633,311924,35791,36175,2,1,2021.06.01 11:50,2021.08.18,2,2,1555,1037
187,da,1964,273622,35391,35397,3,1,2021.06.01 11:58,2021.06.25,2,2,2364,1100
193,da,1474,170525,38369,38397,2,1,2021.06.01 12:02,2021.08.02,1,1,2521,0
199,de,7690,311934,35070,35340,3,1,2021.06.01 12:11,2021.08.30,2,2,1345,626
205,da,2995,311940,35558,37354,2,1,2021.06.01 12:17,2021.08.27,6,6,3007,519
211,se,6514,25145,37585,38169,2,1,2021.06.01 12:26,2021.06.14,3,3,2621,0
217,de,2253,281933,36429,36429,2,1,2021.06.01 12:32,2021.08.20,2,2,1290,0
223,da,1140,44076,37494,37698,3,1,2021.06.01 12:36,2021.06.31,2,2,501,319
229,da,3078,310871,35820,38391,3,2,2021.06.01 12:49,2021.06.11,4,4,4549,519
235,se,1571,311933,36250,38208,3,2,2021.06.01 12:57,2021.06.27,2,2,4526,385
241,da,1071,252803,38356,38356,2,2,2021.06.01 13:05,2021.06.19,2,2,2666,561
247,se,505,242514,36029,36609,2,1,2021.06.01 13:10,2021.06.13,2,2,2390,1111
253,se,4759,311967,37537,38225,2,1,2021.06.01 13:17,2021.08.04,2,2,545,1086
259,da,5437,58904,38349,38354,2,2,2021.06.01 13:32,2021.06.16,2,2,1891,901
265,da,4420,237569,37194,37197,2,1,2021.06.01 13:39,2021.06.12,2,2,3697,561
271,da,314,197591,37043,37043,4,1,2021.06.01 13:44,2021.06.12,1,1,4942,901
277,no,6706,306480,35797,35797,2,2,2021.06.01 13:48,2021.09.05,2,2,2991,908
283,se,3636,24089,37827,38447,2,1,2021.06.01 14:00,2021.06.07,2,2,4230,891
289,se,325,311985,36851,37052,2,1,2021.06.01 14:11,2021.06.21,2,2,2960,905
295,da,5974,240526,37972,37972,4,1,2021.06.01 14:19,2021.08.09,2,2,2973,519
301,da,2680,275689,36342,36342,2,1,2021.06.01 14:29,2021.09.20,7,7,937,0
307,se,7426,311993,35780,38166,2,1,2021.06.01 14:34,2021.08.10,2,2,1425,1037
313,da,1374,263368,37641,37767,3,2,2021.06.01 14:51,2021.06.08,2,2,2036,0
