booking_id,site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
1,da,1627,319946,37664,37664,2,1,2021.08.25 0:42,2021.08.29,2,2,4717,519
6,da,3804,319768,36814,37295,2,1,2021.08.25 8:17,2021.09.20,2,2,4205,0
11,da,7734,207547,35944,35944,3,1,2021.08.25 9:03,2021.09.08,2,2,2894,0
16,da,1191,319847,38353,38628,2,1,2021.08.25 9:23,2021.09.01,2,2,3559,0
21,se,846,319956,38713,38713,2,1,2021.08.25 9:34,2021.09.10,6,4,3154,891
26,da,4594,260723,35177,35177,2,1,2021.08.25 9:59,2021.08.26,2,2,4407,561
31,se,610,173090,38046,38170,3,1,2021.08.25 10:06,2021.08.29,2,2,3092,1086
36,se,3961,319961,36787,38257,2,1,2021.08.25 10:19,2021.09.08,2,2,1342,288
41,da,2681,7890,36245,36245,2,1,2021.08.25 10:26,2021.09.21,2,2,1797,0
46,da,5866,143515,35870,35870,5,1,2021.08.25 10:35,2021.09.06,2,2,1080,0
51,da,314,319971,36842,38604,2,1,2021.08.25 10:43,2021.09.10,2,2,1300,1313
56,da,2645,319974,36550,38646,2,1,2021.08.25 10:57,2021.08.31,2,2,1301,519
61,da,5111,319978,36320,36320,5,1,2021.08.25 11:07,2021.08.26,2,2,3845,0
66,da,884,174604,35385,38134,3,1,2021.08.25 11:18,2021.09.12,2,2,906,672
71,da,1456,319981,36527,37298,2,1,2021.08.25 11:24,2021.09.19,2,2,1939,561
76,da,1140,213442,37494,37698,2,1,2021.08.25 11:31,2021.09.18,2,2,1789,519
81,da,301,319987,36117,38569,2,1,2021.08.25 11:42,2021.08.29,2,2,877,0
86,da,1191,136765,38353,38628,2,1,2021.08.25 11:47,2021.09.11,4,4,2158,0
91,da,1810,319993,38271,38271,4,1,2021.08.25 11:51,2021.08.29,2,2,860,519
96,de,658,319997,38027,38027,2,1,2021.08.25 12:01,2021.10.01,4,4,2380,1034
101,da,8026,272395,37958,37958,4,1,2021.08.25 12:04,2021.08.26,3,2,2646,0
106,da,3932,191676,36573,36573,2,1,2021.08.25 12:07,2021.09.07,2,2,4092,1313
111,da,2771,319857,35420,38614,2,1,2021.08.25 12:18,2021.09.25,2,2,1261,133
116,da,2995,320006,35558,37354,2,1,2021.08.25 12:22,2021.08.30,2,2,844,561
121,de,5441,320007,37836,37836,2,1,2021.08.25 12:30,2021.08.30,2,2,3690,1354
126,se,650,251251,37656,38497,2,1,2021.08.25 12:37,2021.08.28,2,2,3298,625
131,de,3485,312045,37516,37516,4,1,2021.08.25 12:41,2021.09.11,2,2,1268,0
136,da,1388,320017,36278,36278,2,1,2021.08.25 12:50,2021.08.26,2,2,1890,561
141,se,3279,111691,37023,38244,3,1,2021.08.25 12:53,2021.09.22,2,2,4973,904
146,da,355,256217,37102,37102,2,1,2021.08.25 12:57,2021.09.23,4,4,708,903
151,da,645,320026,37390,37390,2,1,2021.08.25 13:02,2021.09.13,4,4,4633,0
156,da,6511,320030,35645,36849,2,1,2021.08.25 13:16,2021.08.29,2,2,3388,1331
161,da,7730,320033,36083,37937,2,1,2021.08.25 13:22,2021.09.04,2,2,2807,0
166,da,1253,320034,35918,35918,2,1,2021.08.25 13:38,2021.09.06,2,2,2078,1029
171,da,1805,1957,38084,38084,2,1,2021.08.25 13:43,2021.10.08,2,2,970,761
176,se,6736,275711,30595,34996,2,1,2021.08.25 13:49,2021.09.11,2,2,2468,1037
181,da,301,239202,36117,38569,2,1,2021.08.25 14:01,2021.08.28,4,4,1881,561
186,se,1429,276886,36048,38206,2,2,2021.08.25 14:14,2021.09.09,2,2,1537,625
191,da,3821,12852,36675,38018,2,1,2021.08.25 14:22,2021.09.07,2,2,2416,672
196,se,6828,173947,35626,35885,2,1,2021.08.25 14:35,2021.09.10,4,4,2471,0
201,se,3275,320050,35573,37401,4,1,2021.08.25 14:41,2021.09.05,2,2,2013,307
206,da,1109,320056,35798,36522,3,1,2021.08.25 14:53,2021.09.02,2,2,2544,519
211,da,830,320057,35903,38556,3,1,2021.08.25 14:58,2021.09.12,2,2,1922,519
216,se,846,320059,38713,38713,3,1,2021.08.25 15:01,2021.09.07,2,2,2999,0
221,da,830,256761,35903,38556,2,1,2021.08.25 15:10,2021.09.13,2,2,3689,561
226,se,650,253833,37656,38497,2,1,2021.08.25 15:19,2021.09.11,2,2,636,905
231,se,6664,320065,38533,38536,2,1,2021.08.25 15:28,2021.09.20,2,2,4462,625
236,da,7511,320067,34287,37304,3,1,2021.08.25 15:37,2021.08.26,2,2,2335,0
241,da,1822,320075,36556,37222,2,1,2021.08.25 15:54,2021.08.30,2,2,3677,1029
246,da,1374,38717,37641,37767,2,1,2021.08.25 16:00,2021.09.13,2,2,567,903
251,da,3712,320080,36520,37051,2,1,2021.08.25 16:10,2021.09.14,2,2,4125,1029
256,no,8506,67291,38062,38062,3,1,2021.08.25 16:28,2021.09.05,2,2,3065,0
261,no,7763,320085,35868,35868,2,1,2021.08.25 16:35,2021.08.28,1,1,2094,0
266,se,3950,147640,35788,38270,3,1,2021.08.25 17:01,2021.09.02,4,4,2614,625
271,da,415,216313,36330,37864,3,1,2021.08.25 17:09,2021.08.31,4,4,888,1100
276,da,415,143316,36330,37864,2,1,2021.08.25 17:15,2021.09.18,2,2,1913,1029
281,se,4893,268714,35783,38422,3,1,2021.08.25 17:22,2021.09.11,2,2,4370,625
286,de,4215,320095,36326,36326,3,1,2021.08.25 17:28,2021.09.27,2,2,2968,0
