site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
de,1072,311847,36113,38424,5,1,2021.08.01 0:01,2021.08.19,2,2,3820,1034
da,4680,132630,36853,38126,3,1,2021.08.01 0:14,2021.08.08,1,1,3074,519
da,5788,281492,25296,25296,4,2,2021.08.01 0:21,2021.08.28,2,2,1970,561
da,301,14119,36117,38434,3,1,2021.08.01 0:50,2021.08.09,2,2,4364,902
da,2362,311848,35458,35458,4,1,2021.08.01 1:07,2021.08.24,3,2,4223,561
da,492,311849,37638,37795,3,1,2021.08.01 1:23,2021.08.05,2,2,3558,561
da,968,311850,38082,38100,2,1,2021.08.01 7:00,2021.08.26,4,4,3144,561
da,7730,47351,36083,37937,2,1,2021.08.01 7:09,2021.08.08,2,2,3168,519
se,3961,311648,36787,38257,2,2,2021.08.01 7:31,2021.08.22,3,3,1365,905
da,1474,255531,38369,38397,3,1,2021.08.01 7:32,2021.08.19,2,2,3054,561
da,1627,311851,35879,35879,2,1,2021.08.01 7:50,2021.08.29,3,3,990,1331
se,6828,311852,35626,35885,2,1,2021.08.01 7:51,2021.08.14,4,4,4820,625
da,4637,311853,38418,38418,2,1,2021.08.01 7:53,2021.08.16,2,2,3769,1331
da,3656,139534,36862,37316,2,1,2021.08.01 7:53,2021.08.05,2,2,2906,901
da,1031,311854,36173,38099,1,1,2021.08.01 7:55,2021.08.09,2,2,3473,1029
da,1171,311856,35914,35914,3,1,2021.08.01 8:14,2021.08.17,2,2,1470,561
se,8289,311857,37728,37728,2,1,2021.08.01 8:15,2021.08.01,2,2,3281,625
se,1370,311859,37076,38203,2,1,2021.08.01 8:22,2021.08.12,2,2,3926,0
da,3712,168384,36520,37051,2,1,2021.08.01 8:23,2021.09.19,2,2,1640,1029
da,2995,22848,35558,37354,2,1,2021.08.01 8:25,2021.08.09,4,4,2751,519
da,3712,168384,36520,37051,2,1,2021.08.01 8:27,2021.09.19,2,2,2234,1029
se,7426,310047,35780,38166,2,1,2021.08.01 8:31,2021.08.09,2,2,2886,625
da,1388,12685,36278,36278,1,1,2021.08.01 8:33,2021.08.08,2,2,1797,1029
da,1474,311609,38369,38397,3,2,2021.08.01 8:34,2021.08.27,3,2,3250,0
da,893,12685,36172,38080,1,1,2021.08.01 8:42,2021.08.07,2,2,4024,1029
da,3061,180947,36798,37362,2,1,2021.08.01 8:43,2021.08.06,2,2,4273,0
da,301,169273,36117,38434,3,1,2021.08.01 8:50,2021.08.19,3,3,3583,519
da,1505,164899,36282,37780,3,1,2021.08.01 8:51,2021.08.14,2,2,892,761
da,6458,310818,36162,36162,2,1,2021.08.01 8:59,2021.08.13,2,2,2306,1331
da,2673,137843,37984,37984,2,1,2021.08.01 9:00,2021.08.18,2,2,3498,561
se,7426,104166,35780,38166,2,1,2021.08.01 9:01,2021.08.26,4,4,3227,0
da,6043,68652,33818,37624,2,1,2021.08.01 9:01,2021.08.30,2,2,4083,0
da,5588,189706,36695,37932,2,1,2021.08.01 9:02,2021.08.30,2,2,2312,519
da,775,311232,36069,36069,7,3,2021.08.01 9:04,2021.08.24,3,2,3466,519
da,1835,311518,35680,35680,4,2,2021.08.01 9:07,2021.08.30,4,4,4207,0
da,1171,311865,35914,35914,2,1,2021.08.01 9:09,2021.08.23,2,2,1302,7
de,6055,311706,37370,37370,2,2,2021.08.01 9:10,2021.08.18,2,2,4401,1358
da,1045,7161,36280,36280,1,1,2021.08.01 9:12,2021.10.01,2,2,2970,561
da,2995,202388,35558,37354,2,1,2021.08.01 9:13,2021.08.14,2,2,3562,319
da,2995,51849,35558,37354,2,1,2021.08.01 9:14,2021.08.31,5,5,4878,672
se,4759,311867,37537,38225,2,1,2021.08.01 9:14,2021.08.07,2,2,1146,625
da,5437,160992,38349,38354,2,1,2021.08.01 9:14,2021.08.23,2,2,517,901
no,2921,311804,36151,36151,2,1,2021.08.01 9:16,2021.08.08,2,2,3775,0
da,6363,311869,36322,36322,3,1,2021.08.01 9:19,2021.08.18,2,2,1083,519
de,870,153697,36261,36261,3,1,2021.08.01 9:20,2021.08.09,2,2,750,897
da,1124,181911,38071,38071,3,1,2021.08.01 9:21,2021.08.04,2,2,1011,561
