booking_id,site,hotel_id,customer_id,package_id,package_revision_id,nights,revision_number,booked_at,arrival_on,pax,pax_adult,revenue_dkk,discount_code_id
1,da,1627,319946,37664,37664,2,1,2021.08.25 0:42,2021.09.29,2,2,4717,519
7,da,830,139722,35903,38556,3,1,2021.08.25 8:18,2021.09.26,4,4,4866,672
13,da,428,241232,35737,38510,2,1,2021.08.25 9:16,2021.09.02,4,4,3007,1029
19,da,648,250689,37391,38679,2,1,2021.08.25 9:28,2021.09.31,6,6,2268,1104
25,da,2194,449,35507,38705,2,1,2021.08.25 9:59,2021.09.13,2,2,3407,519
31,se,610,173090,38046,38170,3,1,2021.08.25 10:06,2021.09.29,2,2,3092,1086
37,se,1293,319962,37026,38199,2,1,2021.08.25 10:21,2021.09.29,4,2,2741,625
43,se,3636,319966,38720,38720,3,1,2021.08.25 10:31,2021.09.11,2,2,3593,625
49,da,7665,319970,34895,37253,2,1,2021.08.25 10:37,2021.09.31,3,3,975,519
55,da,893,221322,36172,38080,1,1,2021.08.25 10:56,2021.09.29,2,2,1525,519
61,da,5111,319978,36320,36320,5,1,2021.08.25 11:07,2021.09.26,2,2,3845,0
67,da,968,40878,38082,38100,2,3,2021.08.25 11:19,2021.09.09,8,8,3414,1029
73,no,4956,277500,37839,37839,2,1,2021.08.25 11:25,2021.09.31,2,2,4355,915
79,da,3643,319986,8819,35486,2,1,2021.08.25 11:40,2021.09.25,4,2,4492,561
85,de,658,319988,35758,35758,2,1,2021.08.25 11:46,2021.09.20,2,2,3606,1034
91,da,1810,319993,38271,38271,4,1,2021.08.25 11:51,2021.09.29,2,2,860,519
97,da,311,319998,36115,36115,2,1,2021.08.25 12:02,2021.09.13,2,2,630,519
103,se,6948,320001,36570,38154,3,1,2021.08.25 12:05,2021.09.23,2,2,637,1037
109,da,4728,320003,34982,38334,5,1,2021.08.25 12:16,2021.09.23,2,2,765,0
115,se,2528,190584,35652,38230,2,1,2021.08.25 12:22,2021.09.20,2,2,2627,1037
121,de,5441,320007,37836,37836,2,1,2021.08.25 12:30,2021.09.30,2,2,3690,1354
127,da,7662,161505,34992,37280,2,1,2021.08.25 12:38,2021.09.26,3,3,4872,519
133,se,2528,320015,35653,38232,2,1,2021.08.25 12:46,2021.10.03,2,2,683,625
139,no,7763,320020,35868,35868,2,1,2021.08.25 12:52,2021.09.28,2,2,4459,1121
145,de,658,320023,38027,38027,3,1,2021.08.25 12:57,2021.10.10,2,2,3410,965
151,da,645,320026,37390,37390,2,1,2021.08.25 13:02,2021.09.13,4,4,4633,0
157,da,3569,320031,35332,37249,3,1,2021.08.25 13:17,2021.09.27,2,2,1668,561
163,da,2194,207447,35507,38705,2,2,2021.08.25 13:28,2021.09.13,2,2,2067,186
169,de,7690,320036,35070,35340,2,1,2021.08.25 13:40,2021.09.06,2,2,1876,1033
175,da,415,42296,36330,37864,3,1,2021.08.25 13:49,2021.09.23,2,2,2385,519
181,da,301,239202,36117,38569,2,1,2021.08.25 14:01,2021.09.28,4,4,1881,561
187,da,3762,4948,33954,37330,2,1,2021.08.25 14:15,2021.09.13,2,2,1041,1099
193,da,1456,178258,36527,37298,3,1,2021.08.25 14:31,2021.09.09,2,2,2766,561
199,da,355,195522,37102,37102,2,1,2021.08.25 14:39,2021.09.22,2,2,3840,0
205,da,4420,269534,37195,37198,2,1,2021.08.25 14:52,2021.09.28,2,2,4989,561
211,da,830,320057,35903,38556,3,1,2021.08.25 14:58,2021.09.12,2,2,1922,519
217,da,3832,230283,37057,37057,4,1,2021.08.25 15:02,2021.09.27,2,2,1029,903
223,se,4560,228975,37902,38665,2,1,2021.08.25 15:15,2021.09.04,2,2,4047,904
229,de,4594,320063,35177,35177,2,1,2021.08.25 15:26,2021.09.04,2,2,1590,436
235,da,505,273669,36029,36609,2,1,2021.08.25 15:37,2021.09.04,3,2,1404,1099
241,da,1822,320075,36556,37222,2,1,2021.08.25 15:54,2021.09.30,2,2,3677,1029
247,da,4067,320077,38010,38645,2,1,2021.08.25 16:00,2021.09.27,3,2,742,0
253,se,5747,230415,35808,35808,2,1,2021.08.25 16:13,2021.09.18,2,2,1826,0
259,de,658,82519,38027,38027,2,1,2021.08.25 16:33,2021.10.03,2,2,2009,815
265,da,3061,320088,36798,37362,2,1,2021.08.25 16:56,2021.09.27,2,2,1817,1313
271,da,415,216313,36330,37864,3,1,2021.08.25 17:09,2021.09.31,4,4,888,1100
277,no,8506,320092,38062,38062,3,1,2021.08.25 17:15,2021.09.16,2,2,3964,1031
283,de,5441,320094,37836,37836,3,1,2021.08.25 17:24,2021.09.28,2,2,2263,1277
289,da,304,320099,38554,38680,2,1,2021.08.25 17:36,2021.09.08,2,2,2595,561
295,se,7540,300755,36411,36411,2,1,2021.08.25 17:43,2021.09.01,7,6,1454,1037
301,da,4728,320104,34982,38334,3,1,2021.08.25 17:59,2021.09.22,2,2,2777,519
307,de,5713,320109,38419,38419,2,1,2021.08.25 18:11,2021.10.22,5,5,4316,436
313,da,4420,111723,37195,37198,2,1,2021.08.25 18:26,2021.09.16,2,2,1384,561
319,da,1187,320119,37951,37954,2,1,2021.08.25 18:39,2021.09.02,2,2,1887,519
325,se,8292,320122,38040,38164,2,1,2021.08.25 19:10,2021.09.26,2,2,1584,0
331,se,6587,258582,37380,37380,2,1,2021.08.25 19:24,2021.09.10,2,2,4479,904
337,da,4148,319730,35297,38733,2,2,2021.08.25 19:34,2021.09.30,2,2,1312,519
343,da,7665,320133,34895,37253,2,1,2021.08.25 19:47,2021.09.30,4,4,2740,0
349,da,314,74559,36842,38604,2,1,2021.08.25 19:52,2021.10.17,4,4,3195,519
355,da,3070,320143,35506,37357,2,1,2021.08.25 20:03,2021.09.27,4,4,3919,1099
361,da,1377,200137,36205,37300,3,1,2021.08.25 20:18,2021.09.23,2,2,587,561
367,da,2681,320146,36245,36245,2,1,2021.08.25 20:27,2021.09.19,2,2,2648,519
373,da,3854,320155,36279,38684,3,1,2021.08.25 20:32,2021.09.09,2,2,3376,519
379,da,4067,320160,38010,38645,2,1,2021.08.25 20:46,2021.09.27,2,2,3010,116
385,da,7516,308317,35263,37987,2,1,2021.08.25 20:57,2021.09.07,2,2,3154,1029
391,da,1505,3189,36282,37780,2,1,2021.08.25 21:05,2021.11.05,1,1,2343,902
397,se,1070,47108,37747,38188,2,1,2021.08.25 21:10,2021.09.27,2,2,687,625
403,da,7511,264096,34287,37304,2,1,2021.08.25 21:15,2021.09.26,3,3,2630,87
409,da,1505,319759,36282,37780,2,1,2021.08.25 21:38,2021.11.05,1,1,725,1103
415,se,3415,274366,38694,38694,3,1,2021.08.25 21:46,2021.09.20,2,2,3819,0
421,da,1374,298569,36259,36259,2,1,2021.08.25 22:05,2021.12.10,4,2,3120,519
427,da,8154,66950,38689,38689,3,1,2021.08.25 22:26,2021.09.30,3,2,1648,519
433,da,415,320187,36330,37864,2,1,2021.08.25 23:01,2021.09.17,2,2,3460,0
439,da,7516,226964,35263,37987,5,1,2021.08.26 1:10,2021.09.26,4,4,4996,519
445,de,5441,320198,37836,37836,2,1,2021.08.26 7:38,2021.09.03,2,2,3452,1354
451,da,1191,116289,38353,38628,2,1,2021.08.26 8:50,2021.09.30,5,5,4930,519
457,de,3116,320203,38104,38104,3,1,2021.08.26 9:08,2021.09.22,2,2,4283,1258
463,da,3409,318065,35792,35792,2,2,2021.08.26 9:16,2021.09.06,8,8,3185,1099
469,de,1072,193847,36774,38505,2,1,2021.08.26 9:20,2021.09.14,2,2,1735,1033
475,de,1071,263668,38356,38356,2,1,2021.08.26 9:23,2021.09.27,4,4,4686,1258
481,da,3762,178992,33954,37330,2,1,2021.08.26 9:39,2021.09.18,2,2,946,672
487,da,7370,125409,36557,36557,2,1,2021.08.26 9:51,2021.09.27,2,2,913,672
493,da,314,234333,38612,38612,3,1,2021.08.26 10:00,2021.09.02,2,2,943,0
499,de,6188,320233,34764,34999,2,1,2021.08.26 10:05,2021.10.14,2,2,3395,1277
505,se,3415,229001,38694,38694,3,1,2021.08.26 10:12,2021.09.12,2,2,4622,905
511,da,8048,320237,36808,36808,2,1,2021.08.26 10:17,2021.09.03,6,6,1558,116
517,da,7516,27515,35263,37987,2,1,2021.08.26 10:24,2021.09.27,2,2,860,903
523,se,2121,111768,37024,38643,3,1,2021.08.26 10:31,2021.09.20,4,4,1843,1086
529,da,1505,320244,36282,37780,2,1,2021.08.26 10:34,2021.09.27,11,10,2434,1313
535,da,1191,311781,38353,38628,2,2,2021.08.26 10:39,2021.09.02,2,2,4481,519
541,da,1620,318960,35887,35887,4,2,2021.08.26 10:49,2021.09.17,2,2,2411,1029
547,se,4637,151361,35796,38457,3,2,2021.08.26 11:03,2021.09.08,2,2,1631,0
553,se,846,320253,38713,38713,2,1,2021.08.26 11:08,2021.09.01,6,6,2855,1086
559,de,5714,320257,37875,37875,2,1,2021.08.26 11:12,2021.09.20,3,3,1962,1277
565,da,2921,239915,36151,36151,2,1,2021.08.26 11:22,2021.09.12,2,2,1681,319
571,no,7763,320265,35868,35868,2,1,2021.08.26 11:30,2021.09.30,4,4,591,0
577,se,946,176207,36152,38177,2,1,2021.08.26 11:34,2021.09.08,2,2,2156,1037
583,da,311,303897,36115,36115,2,2,2021.08.26 11:42,2021.09.04,2,2,2679,519
589,da,3804,319452,36814,37295,2,1,2021.08.26 11:50,2021.09.31,1,1,3641,0
595,no,4923,320275,38564,38564,2,1,2021.08.26 11:57,2021.09.08,2,2,3610,914
601,da,301,320230,36117,38569,1,3,2021.08.26 12:01,2021.09.29,7,4,1384,0
607,da,648,319417,37391,38679,2,2,2021.08.26 12:13,2021.09.10,2,2,1470,561
613,no,4923,320289,38564,38564,3,1,2021.08.26 12:17,2021.09.28,2,2,3988,1031
619,no,8506,320294,37931,37940,2,1,2021.08.26 12:29,2021.09.28,4,4,625,1122
625,se,2773,31517,36246,38234,2,2,2021.08.26 12:34,2021.09.08,4,4,2830,625
631,de,658,320298,38027,38027,2,1,2021.08.26 12:40,2021.10.03,3,3,1829,815
637,da,5441,320300,37836,37836,4,1,2021.08.26 12:43,2021.09.27,2,2,1228,0
643,de,2463,320302,36458,37717,3,1,2021.08.26 12:47,2021.09.05,2,2,2796,1033
649,no,610,320306,37133,38172,2,1,2021.08.26 12:53,2021.09.29,4,4,1604,1031
655,da,2150,281863,38430,38430,5,1,2021.08.26 12:59,2021.09.23,2,2,1884,761
661,da,1170,14241,36099,37437,3,2,2021.08.26 13:08,2021.12.05,4,4,504,672
667,se,3472,318196,37805,38438,3,1,2021.08.26 13:21,2021.09.27,2,2,1106,0
673,da,5438,41154,36619,37322,2,2,2021.08.26 13:28,2021.09.04,2,2,3553,519
679,de,658,320323,38027,38027,3,1,2021.08.26 13:34,2021.10.26,6,4,3537,1239
685,da,2771,320328,38611,38617,3,1,2021.08.26 13:45,2021.09.27,4,4,4969,519
691,se,4452,243654,35750,38245,2,1,2021.08.26 13:51,2021.09.13,2,2,2762,1037
697,da,301,2381,36117,38569,3,1,2021.08.26 13:55,2021.09.30,2,2,727,903
703,da,4275,320327,38647,38647,2,1,2021.08.26 14:06,2021.09.28,2,2,3093,0
709,da,884,76092,35385,38134,2,1,2021.08.26 14:13,2021.09.10,2,2,3407,519
715,da,1191,288042,38353,38628,2,1,2021.08.26 14:17,2021.09.30,2,2,2858,0
721,se,6664,80938,38533,38536,3,1,2021.08.26 14:32,2021.12.29,1,1,3507,0
727,da,3070,320346,36729,37356,2,1,2021.08.26 14:36,2021.09.29,2,2,1998,519
733,da,2681,255390,36245,36245,2,1,2021.08.26 14:39,2021.09.06,2,2,2349,0
739,da,1388,65282,36278,36278,2,1,2021.08.26 14:53,2021.09.27,6,4,985,0
745,de,7844,320359,38359,38359,2,1,2021.08.26 14:58,2021.09.24,2,2,4616,1259
751,da,969,319577,37994,37994,2,2,2021.08.26 15:05,2021.09.27,2,2,1985,0
757,da,301,243061,38712,38712,2,1,2021.08.26 15:23,2021.09.30,2,2,4405,901
763,de,4221,320302,36605,36605,1,1,2021.08.26 15:28,2021.09.04,2,2,1821,1033
769,se,428,38497,35737,38510,3,1,2021.08.26 15:38,2021.09.03,2,2,2985,0
775,da,1109,320370,35798,36522,2,1,2021.08.26 15:44,2021.09.30,2,2,673,1099
781,da,1460,840,35424,35424,6,2,2021.08.26 15:55,2021.09.02,2,2,3875,672
787,se,1377,228707,36205,37300,3,1,2021.08.26 16:04,2021.09.01,4,4,3983,1114
793,se,846,320379,36219,38060,2,1,2021.08.26 16:09,2021.09.24,8,6,4138,1114
799,da,3802,272744,36276,37565,2,1,2021.08.26 16:13,2021.09.08,2,2,3648,0
805,no,4923,71211,38564,38564,2,1,2021.08.26 16:16,2021.09.28,3,3,2184,1122
811,da,969,187000,37994,37994,2,1,2021.08.26 16:24,2021.09.27,2,2,3364,519
817,de,3353,320390,35399,35399,2,1,2021.08.26 16:37,2021.09.24,2,2,2281,0
823,da,7730,259379,36083,37937,2,1,2021.08.26 16:48,2021.09.06,2,2,3801,0
829,se,7511,172918,34287,37304,2,1,2021.08.26 16:55,2021.09.27,4,2,3796,625
835,da,5340,83208,35772,35772,3,1,2021.08.26 17:01,2021.09.28,2,2,1463,519
841,da,893,320403,36172,38080,1,1,2021.08.26 17:10,2021.09.23,2,2,1055,561
847,da,1505,320407,36282,37780,2,1,2021.08.26 17:16,2021.09.03,2,2,4630,0
853,se,2773,320414,36246,38234,2,1,2021.08.26 17:36,2021.09.16,2,2,581,0
859,se,689,320418,37949,37949,3,1,2021.08.26 17:44,2021.09.27,2,2,4854,891
865,da,509,2703,37983,37983,3,1,2021.08.26 18:00,2021.09.20,2,2,4913,903
871,se,846,320422,38713,38713,2,1,2021.08.26 18:04,2021.09.01,2,2,4018,1037
877,da,1413,320427,36812,38602,5,1,2021.08.26 18:18,2021.09.06,2,2,3651,761
883,se,846,320432,38713,38713,2,1,2021.08.26 18:34,2021.09.03,2,2,4724,0
889,de,4929,320436,33801,35104,2,1,2021.08.26 18:50,2021.09.01,2,2,1272,1034
895,de,7844,320439,38359,38359,2,1,2021.08.26 18:57,2021.09.04,2,2,1769,911
901,da,2771,320443,38611,38617,3,1,2021.08.26 19:14,2021.09.06,2,2,4185,561
907,da,1191,320446,38353,38628,2,1,2021.08.26 19:25,2021.09.31,2,2,3836,519
913,de,6351,320450,38639,38639,2,1,2021.08.26 19:42,2021.09.31,2,2,1909,436
919,da,1505,320457,36282,37780,2,1,2021.08.26 19:52,2021.11.05,1,1,3395,561
925,da,4687,320460,36558,36558,2,1,2021.08.26 20:06,2021.09.15,2,2,1429,0
931,no,3283,247327,35456,35676,3,1,2021.08.26 20:18,2021.09.10,2,2,3383,1031
937,da,893,320468,36172,38080,3,1,2021.08.26 20:36,2021.09.10,1,1,1139,0
943,se,8175,220358,37653,37653,2,1,2021.08.26 20:47,2021.09.13,2,2,4368,0
949,se,6566,206636,35631,38165,3,1,2021.08.26 21:05,2021.09.30,2,2,1502,1111
955,da,893,40000,36172,38080,2,1,2021.08.26 21:14,2021.09.29,2,2,1519,519
961,da,610,320481,37133,38172,4,1,2021.08.26 21:19,2021.09.02,2,2,3926,0
967,da,6892,320485,36178,36701,3,1,2021.08.26 21:35,2021.09.12,2,2,3396,561
973,no,4953,320488,37344,37344,3,1,2021.08.26 22:01,2021.09.28,2,2,4729,0
979,no,7672,320493,37774,37774,2,1,2021.08.26 22:08,2021.09.02,2,2,1543,1031
985,da,6892,319017,36177,36674,3,1,2021.08.26 22:21,2021.09.28,2,2,555,561
991,da,1688,247583,36309,36309,2,2,2021.08.26 22:46,2021.09.19,2,2,3610,0
997,da,1171,320151,38737,38737,2,1,2021.08.26 23:33,2021.09.29,2,2,2300,561
1003,se,1293,1413,37026,38199,2,1,2021.08.27 8:00,2021.09.29,2,2,1313,891
1009,da,357,320508,38736,38736,2,1,2021.08.27 8:34,2021.09.27,2,2,3490,519
1015,da,4148,47733,35297,38733,2,1,2021.08.27 9:01,2021.11.26,2,2,3039,561
1021,no,6729,251147,37555,38128,2,2,2021.08.27 9:08,2021.09.03,4,4,2153,1031
1027,se,2773,281689,36249,38235,2,1,2021.08.27 9:19,2021.09.09,2,2,2108,287
1033,da,843,10046,36140,36140,3,2,2021.08.27 9:31,2021.09.18,3,3,4322,0
1039,da,5437,282420,38349,38655,2,2,2021.08.27 9:44,2021.09.31,2,2,3437,672
1045,da,301,205527,36117,38569,5,1,2021.08.27 9:48,2021.09.29,2,2,1904,0
1051,da,1293,320534,37026,38199,2,1,2021.08.27 9:57,2021.09.29,4,2,2364,58
1057,da,647,320055,37388,37388,2,2,2021.08.27 10:01,2021.09.13,4,4,1517,1331
1063,se,1370,320540,37076,38203,3,1,2021.08.27 10:07,2021.09.02,2,2,3642,891
1069,de,7690,320543,35070,35340,2,1,2021.08.27 10:15,2021.09.01,2,2,3627,1354
1075,da,301,10936,36117,38569,3,1,2021.08.27 10:24,2021.09.09,2,2,845,901
1081,se,1394,320351,38696,38696,3,2,2021.08.27 10:30,2021.09.17,2,2,2964,905
1087,se,5880,320552,38671,38671,3,1,2021.08.27 10:34,2021.09.01,2,2,3333,625
1093,de,952,320553,33781,33781,4,1,2021.08.27 10:41,2021.09.09,1,1,4157,1277
1099,da,4420,320558,37195,37198,2,1,2021.08.27 10:49,2021.09.16,2,2,1697,1029
1105,se,1810,191400,38271,38271,4,1,2021.08.27 11:00,2021.09.28,2,2,3240,625
1111,da,4420,320563,37195,37198,2,1,2021.08.27 11:07,2021.09.02,2,2,4818,561
1117,da,3615,307908,37562,37562,2,2,2021.08.27 11:15,2021.09.24,5,5,2315,519
1123,da,1042,840,35175,35175,2,1,2021.08.27 11:20,2021.09.08,2,2,2527,902
1129,da,1374,320575,36258,36258,1,1,2021.08.27 11:31,2021.09.29,2,2,2212,1029
1135,da,314,199492,38612,38612,3,2,2021.08.27 11:39,2021.09.05,2,2,1641,672
1141,se,7516,320579,35263,37987,2,1,2021.08.27 11:56,2021.09.27,2,2,1936,0
1147,da,5713,320581,38701,38701,5,1,2021.08.27 12:07,2021.09.04,2,2,4319,1099
1153,da,3643,320582,8819,35486,2,2,2021.08.27 12:15,2021.09.02,3,3,4361,1331
1159,se,7427,58847,36657,36657,2,1,2021.08.27 12:22,2021.09.18,2,2,952,1111
1165,da,884,320589,35385,38134,2,1,2021.08.27 12:33,2021.09.24,2,2,3479,902
1171,no,2921,309303,36151,36151,2,2,2021.08.27 12:40,2021.09.12,2,2,1321,0
